,name,lat,lon,price_level,rating,user_ratings_total,amenity,amenity_label,bar,bistro,cafe,fast_food,ice_cream,juice_bar,pub,restaurant,is_chain,chain_label,chain_False,chain_True
3133,good earth coffeehouse,49.2642829,-123.1860874,2.0,4.1,161,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
3134,yuji's from japan,49.2682379,-123.1860064,2.0,4.3,114,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
3135,irori sushi,49.2684715,-123.1853203,2.0,4.3,109,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
3136,double dd pizza,49.26844000000001,-123.1821901,2.0,4.6,311,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
3137,true confections,49.2647119,-123.1861243,2.0,3.9,491,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
3138,grounds for coffee,49.2637878,-123.1861359,1.0,4.6,255,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
3139,jericho beach consession,49.2717194,-123.1915572,0.0,4.4,59,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
3140,everyday sushi,49.2636878,-123.2113535,1.0,3.6,116,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
3141,the cove pub,49.2687846,-123.18521509999998,2.0,4.1,346,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
3142,the wolf and hound,49.2644903,-123.1842004,2.0,4.2,535,pub,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0,1.0,0.0
3143,baru,49.2640795,-123.1860622,0.0,0.0,0,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
3144,mac falafel,49.2638061,-123.1854424,0.0,4.0,74,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
3145,storm city coffee,49.2644035,-123.1800767,0.0,4.5,159,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
3146,jun sushi,49.2643924,-123.1782983,1.0,4.1,96,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
